"Wavelength","rsr","stdev","band"
723,6.2708139e-05,3.32919371e-05,"Blue"
724,7.13710033e-05,3.79941957e-05,"Blue"
725,8.00338821e-05,4.36412665e-05,"Blue"
726,8.86967609e-05,4.99134658e-05,"Blue"
727,9.73596325e-05,5.66034541e-05,"Blue"
728,0.000106022504,6.35794131e-05,"Blue"
729,0.000111070556,6.73698378e-05,"Blue"
730,0.000102234837,5.8384594e-05,"Blue"
731,9.33991541e-05,5.02344228e-05,"Blue"
732,8.45634349e-05,4.33923597e-05,"Blue"
733,7.57277303e-05,3.85609892e-05,"Blue"
734,6.68920329e-05,3.65467422e-05,"Blue"
735,5.80563174e-05,3.78026416e-05,"Blue"
736,5.76889106e-05,3.19363535e-05,"Blue"
737,5.76288367e-05,2.72171528e-05,"Blue"
738,5.75687809e-05,2.48366505e-05,"Blue"
739,5.75087106e-05,2.54595961e-05,"Blue"
740,5.74486367e-05,2.88923293e-05,"Blue"
741,5.21138281e-05,3.00711235e-05,"Blue"
742,5.01633549e-05,2.80030363e-05,"Blue"
743,4.82128817e-05,2.61071164e-05,"Blue"
744,4.62624266e-05,2.44235507e-05,"Blue"
745,4.43119534e-05,2.29989582e-05,"Blue"
746,4.23614911e-05,2.18839468e-05,"Blue"
747,4.04110324e-05,2.11276965e-05,"Blue"
748,3.84605482e-05,2.07693483e-05,"Blue"
749,3.65100896e-05,2.0829506e-05,"Blue"
750,3.455962e-05,2.13045678e-05,"Blue"
751,3.37853235e-05,2.05860033e-05,"Blue"
752,3.36344601e-05,1.93742908e-05,"Blue"
753,3.34835931e-05,1.85771642e-05,"Blue"
754,3.33327189e-05,1.8248893e-05,"Blue"
755,3.31818555e-05,1.84145956e-05,"Blue"
756,3.30309886e-05,1.90614719e-05,"Blue"
757,3.28801179e-05,2.01431267e-05,"Blue"
758,3.2729251e-05,2.15943801e-05,"Blue"
759,3.2578384e-05,2.3346407e-05,"Blue"
760,2.37396453e-05,1.49721573e-05,"Blue"
761,2.399605e-05,1.43813249e-05,"Blue"
762,2.46809032e-05,1.38624846e-05,"Blue"
763,2.53657618e-05,1.36466297e-05,"Blue"
764,2.60506204e-05,1.37480065e-05,"Blue"
765,2.67354771e-05,1.41598321e-05,"Blue"
766,2.74203358e-05,1.48562749e-05,"Blue"
767,2.81051944e-05,1.5799782e-05,"Blue"
768,2.87900511e-05,1.69491123e-05,"Blue"
769,2.94749061e-05,1.82654494e-05,"Blue"
770,3.01597665e-05,1.97154368e-05,"Blue"
771,2.97373663e-05,1.86368288e-05,"Blue"
772,2.91753058e-05,1.73602402e-05,"Blue"
773,2.86132345e-05,1.62521992e-05,"Blue"
774,2.80511704e-05,1.53492238e-05,"Blue"
775,2.74891008e-05,1.46891871e-05,"Blue"
776,2.69270313e-05,1.43057296e-05,"Blue"
777,2.63649617e-05,1.42212475e-05,"Blue"
778,2.58028922e-05,1.44410324e-05,"Blue"
779,2.52408245e-05,1.49516136e-05,"Blue"
780,2.46787586e-05,1.5724725e-05,"Blue"
781,2.43978939e-05,1.4921704e-05,"Blue"
782,2.41624275e-05,1.39616723e-05,"Blue"
783,2.39269648e-05,1.31674115e-05,"Blue"
784,2.36915002e-05,1.25703409e-05,"Blue"
785,2.34560339e-05,1.21994763e-05,"Blue"
786,2.3220573e-05,1.20756649e-05,"Blue"
787,2.29851139e-05,1.22064548e-05,"Blue"
788,2.27496512e-05,1.25838769e-05,"Blue"
789,2.25141885e-05,1.31867855e-05,"Blue"
790,2.22787221e-05,1.39860349e-05,"Blue"
791,2.37519398e-05,1.35635828e-05,"Blue"
792,2.53038925e-05,1.3770632e-05,"Blue"
793,2.6855847e-05,1.46491693e-05,"Blue"
794,2.84077923e-05,1.60895706e-05,"Blue"
795,2.99597414e-05,1.79571925e-05,"Blue"
796,3.21767475e-05,1.95249304e-05,"Blue"
797,3.7845457e-05,2.23388761e-05,"Blue"
798,3.67474277e-05,2.49463756e-05,"Blue"
799,3.78834447e-05,2.18114346e-05,"Blue"
800,3.52796378e-05,2.31730683e-05,"Blue"
801,3.28205497e-05,2.1083335e-05,"Blue"
802,3.32379132e-05,2.11643146e-05,"Blue"
803,3.40245606e-05,2.04484841e-05,"Blue"
804,3.48515314e-05,2.43409922e-05,"Blue"
805,3.77654178e-05,2.28851186e-05,"Blue"
806,4.11968285e-05,2.65178387e-05,"Blue"
807,5.12167426e-05,2.70600667e-05,"Blue"
808,5.97931066e-05,3.21113403e-05,"Blue"
809,5.25714349e-05,2.53725848e-05,"Blue"
810,4.53497451e-05,2.37179502e-05,"Blue"
811,4.02519981e-05,2.597815e-05,"Blue"
812,4.08589149e-05,2.46181608e-05,"Blue"
813,4.1465817e-05,2.35662083e-05,"Blue"
814,4.20727301e-05,2.28648587e-05,"Blue"
815,4.26796323e-05,2.25468084e-05,"Blue"
816,4.32865381e-05,2.26283264e-05,"Blue"
817,4.38934439e-05,2.31050981e-05,"Blue"
818,4.45003498e-05,2.39535766e-05,"Blue"
819,4.51072628e-05,2.51360743e-05,"Blue"
820,4.5714165e-05,2.66082498e-05,"Blue"
821,4.65157427e-05,2.82489709e-05,"Blue"
822,5.38915701e-05,2.80799813e-05,"Blue"
823,6.12673903e-05,2.94248675e-05,"Blue"
824,6.86432177e-05,3.2093878e-05,"Blue"
825,7.60190451e-05,3.57919744e-05,"Blue"
826,8.33948725e-05,4.02364349e-05,"Blue"
827,9.07707145e-05,4.52076056e-05,"Blue"
828,9.814652e-05,5.05503667e-05,"Blue"
829,0.000105522311,5.61588458e-05,"Blue"
830,0.000112898168,6.19608254e-05,"Blue"
831,0.00010719998,5.10474601e-05,"Blue"
832,0.000100626268,3.99983001e-05,"Blue"
833,9.40525497e-05,3.10175528e-05,"Blue"
834,8.74788529e-05,2.63158763e-05,"Blue"
835,8.09051417e-05,2.81277371e-05,"Blue"
836,7.35323119e-05,3.1461248e-05,"Blue"
837,6.41151564e-05,3.1964908e-05,"Blue"
838,5.75477534e-05,3.20462532e-05,"Blue"
839,5.15389074e-05,3.04672685e-05,"Blue"
840,4.71605963e-05,2.83865375e-05,"Blue"
841,4.33630921e-05,2.6423415e-05,"Blue"
842,4.14041097e-05,2.29799007e-05,"Blue"
843,4.09859022e-05,2.53299859e-05,"Blue"
844,4.23065212e-05,2.67481464e-05,"Blue"
845,3.99310229e-05,2.59408025e-05,"Blue"
846,4.14428869e-05,2.52855098e-05,"Blue"
847,4.70309969e-05,2.53269227e-05,"Blue"
848,4.89285012e-05,2.72398684e-05,"Blue"
849,5.2355721e-05,2.42789156e-05,"Blue"
850,6.6119901e-05,2.6330059e-05,"Blue"
851,8.46358453e-05,2.82329438e-05,"Blue"
852,0.000105707579,3.96402793e-05,"Blue"
853,0.000116155796,3.45136614e-05,"Blue"
854,0.000128426473,4.1607178e-05,"Blue"
855,0.000129515538,4.13854032e-05,"Blue"
856,0.000130590735,4.24992941e-05,"Blue"
857,0.000138086893,4.23078563e-05,"Blue"
858,0.000144565842,4.29360698e-05,"Blue"
859,0.000149579297,4.27666891e-05,"Blue"
860,0.0001501652,4.24194877e-05,"Blue"
861,0.00014356694,3.29171053e-05,"Blue"
862,0.00013411972,3.20065992e-05,"Blue"
863,0.0001269364,3.76031931e-05,"Blue"
864,0.000119353877,3.81227546e-05,"Blue"
865,0.000115892472,3.84445484e-05,"Blue"
866,0.00011631292,3.93497685e-05,"Blue"
867,0.00011388454,3.34921824e-05,"Blue"
868,0.000119130658,3.41223677e-05,"Blue"
869,0.000123306338,4.44583238e-05,"Blue"
870,0.000129754961,4.73333093e-05,"Blue"
871,0.000142948702,4.95678796e-05,"Blue"
872,0.000157292146,4.52794702e-05,"Blue"
873,0.000171381209,4.53597459e-05,"Blue"
874,0.000185964876,3.42067142e-05,"Blue"
875,0.00020779761,6.3523381e-05,"Blue"
876,0.000209010846,7.20021199e-05,"Blue"
877,0.000180176969,6.98705189e-05,"Blue"
878,0.000145250509,5.39144676e-05,"Blue"
879,0.000115957439,3.70286834e-05,"Blue"
880,9.22987747e-05,4.49415675e-05,"Blue"
881,7.77432433e-05,4.32776069e-05,"Blue"
882,6.77334101e-05,2.96962098e-05,"Blue"
883,6.52373856e-05,3.217626e-05,"Blue"
884,6.29040223e-05,2.70807668e-05,"Blue"
885,6.29460264e-05,3.44711007e-05,"Blue"
886,7.02624457e-05,3.72440845e-05,"Blue"
887,7.77668029e-05,4.24846148e-05,"Blue"
888,8.14528248e-05,5.12503029e-05,"Blue"
889,8.99004226e-05,5.81410241e-05,"Blue"
890,0.000105203464,5.51096127e-05,"Blue"
891,0.000115982548,5.98837687e-05,"Blue"
892,0.000133360532,5.75563718e-05,"Blue"
893,0.000161148302,4.14591377e-05,"Blue"
894,0.000204092081,3.35314253e-05,"Blue"
895,0.000295598962,4.66083766e-05,"Blue"
896,0.000410820037,7.3503259e-05,"Blue"
897,0.000526041142,0.000109008164,"Blue"
898,0.000641262159,0.00014701164,"Blue"
899,0.00075648335,0.000185988392,"Blue"
900,0.000713196408,0.000176583097,"Blue"
901,0.000610365649,0.000148876701,"Blue"
902,0.000507535122,0.000122611556,"Blue"
903,0.000404704391,9.89420587e-05,"Blue"
904,0.000301873661,8.02006471e-05,"Blue"
905,0.000199043076,7.04371778e-05,"Blue"
906,0.000142911245,6.18369304e-05,"Blue"
907,0.000118579243,5.5780547e-05,"Blue"
